names,address,latitude,longitude,place_id,longitude.1,latitude.1
1st Choice Market,"3019 E 91st St, Chicago, IL 60617, USA",41.729917,-87.5503556,ChIJ2SbgWOMnDogRYc1ts4snm0o,-87.5503556,41.729917
3 Greens Market,"354 W Hubbard St, Chicago, IL 60654, USA",41.8900446,-87.6377556,ChIJJxcKBrYsDogRwQoVizevDwQ,-87.6377556,41.8900446
61st Street Farmers Market,"6100 S Blackstone Ave, Chicago, IL 60637, USA",41.78407,-87.590568,ChIJh3NjkxopDogRBkkhjgL5KW0,-87.590568,41.78407
95th Market,"336 E 95th St, Chicago, IL 60619, USA",41.722183,-87.615095,ChIJOzTbawkmDogRp_2SJADIU9s,-87.615095,41.722183
A & B Food Market,"5057 W Division St, Chicago, IL 60651, USA",41.9021889,-87.7531213,ChIJ81MC3cvMD4gRXD0mYp35mfQ,-87.7531213,41.9021889
A & J Grocery,"6406 N Claremont Ave, Chicago, IL 60645, USA",41.9980875,-87.688928,ChIJKYRPId3RD4gRCk1D8a6kmoc,-87.688928,41.9980875
A & L Market Inc,"8329 S Cottage Grove Ave, Chicago, IL 60619, USA",41.743101,-87.604608,ChIJO_5WYqQoDogRREFaX57a_Pw,-87.604608,41.743101
A & L Supermarket Inc,"7458 S Cottage Grove Ave, Chicago, IL 60619, USA",41.758731,-87.605765,ChIJ8UyU-sYoDogRQiSPP_TiFBQ,-87.605765,41.758731
A & N Food Market,"3222 W Cermak Rd, Chicago, IL 60623, USA",41.8518707,-87.7062521,ChIJqad7XnsyDogR5gm6yZUrI58,-87.7062521,41.8518707
A & N Grocery,"4759 W Lake St, Chicago, IL 60644, USA",41.8863866,-87.7453072,ChIJAQCwFCUzDogRaxTybIkVm-E,-87.7453072,41.8863866
A&G International Fresh Market,5630 West Belmont Avenue,41.9388456,-87.7679656,n3621635474,-87.7679656,41.9388456
AAA Grocery Inc,"2902 W Madison St, Chicago, IL 60612, USA",41.8812433,-87.6989404,ChIJXamqyaAyDogRBb0apPvlCFY,-87.6989404,41.8812433
Adrian's Food Market,"3700 W Diversey Ave, Chicago, IL 60647, USA",41.9322209,-87.7198243,ChIJ6ZrNgwvND4gRc8WUj0werWA,-87.7198243,41.9322209
Adrian's Foods Market,"3258 W Montrose Ave, Chicago, IL 60618, USA",41.961284,-87.710556,ChIJacaLKOzND4gR3B3ZtnpufFc,-87.710556,41.961284
African Groceries & Art,"722 E 79th St, Chicago, IL 60619, USA",41.7513541,-87.6067309,ChIJ9TLghLkoDogRLGWoSLXhZ9Y,-87.6067309,41.7513541
Aida Food Market,"7923 S Halsted St, Chicago, IL 60620, USA",41.7499256,-87.6439109,ChIJMa65zm4vDogRrvnk9kE1QVg,-87.6439109,41.7499256
Al Khyam Bakery & Grocery,"4738 N Kedzie Ave, Chicago, IL 60625, USA",41.9679664,-87.7085981,ChIJMXN5PeXND4gRSiG6NW68HcA,-87.7085981,41.9679664
ALDI,"7345 S State St, Chicago, IL 60619, USA",41.7604006,-87.6244088,ChIJyY8ByDYvDogRzLCWYOxs3T4,-87.6244088,41.7604006
ALDI,"7800 S South Chicago Ave, Chicago, IL 60619, USA",41.7525337,-87.587817,ChIJ3VRsZY0oDogRD5UMUkyC_i0,-87.587817,41.7525337
ALDI,"7627 S Ashland Ave, Chicago, IL 60620, USA",41.7547282,-87.6631021,ChIJ_8zRzpgvDogRwdIctnOWbew,-87.6631021,41.7547282
ALDI,"6621 S Cottage Grove Ave, Chicago, IL 60637, USA",41.7745183,-87.6053908,ChIJL9w47dgoDogRVLsI5joo9K0,-87.6053908,41.7745183
ALDI,"4501 S Pulaski Rd, Chicago, IL 60632, USA",41.8100643,-87.723271,ChIJiWzRwY4xDogR5LTunXYvQwQ,-87.723271,41.8100643
ALDI,"821 W 115th St, Chicago, IL 60643, USA",41.6836776,-87.6432717,ChIJtex4QkYkDogRtKHDPdcfNCA,-87.6432717,41.6836776
ALDI,"10532 S Indianapolis Ave, Chicago, IL 60617, USA",41.7034698,-87.5257601,ChIJk8M_8WXYEYgRFQKr9qklD90,-87.5257601,41.7034698
ALDI,"4934 S Kedzie Ave, Chicago, IL 60632, USA",41.8032144,-87.7057296,ChIJ0e3JPeQxDogR_vS7wxH5vBs,-87.7057296,41.8032144
ALDI,"8500 S Holland Rd, Chicago, IL 60620, USA",41.7392992,-87.632434,ChIJl93CvFsvDogR7087_QjY9oY,-87.632434,41.7392992
ALDI,"1508 W 47th St, Chicago, IL 60609, USA",41.8093803,-87.6628652,ChIJFRUFfnsuDogRXW-FFtP9oaU,-87.6628652,41.8093803
ALDI,"2333 E 95th St, Chicago, IL 60617, USA",41.7222008,-87.5667186,ChIJv8aDAMUnDogRspVDwTQj6I0,-87.5667186,41.7222008
ALDI,"1739 W Cermak Rd, Chicago, IL 60608, USA",41.8515741,-87.6701598,ChIJoXitY6YtDogRKkQ8OuT1g68,-87.6701598,41.8515741
ALDI,"8333 S Cicero Ave, Chicago, IL 60652, USA",41.7405901,-87.7404682,ChIJA4h9boEwDogRwiHTO8k05P8,-87.7404682,41.7405901
ALDI,"6025 S Western Ave, Chicago, IL 60636, USA",41.7838081,-87.6829892,ChIJH6qlOzEuDogRLB49OfQFubE,-87.6829892,41.7838081
